Series Code,Series Name
GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU)
GC.AST.TOTL.GD.ZS,Net acquisition of financial assets (% of GDP)
GC.DOD.TOTL.CN,"Central government debt, total (current LCU)"
GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)"
GC.LBL.TOTL.CN,"Net incurrence of liabilities, total (current LCU)"
GC.LBL.TOTL.GD.ZS,"Net incurrence of liabilities, total (% of GDP)"
GC.NFN.TOTL.CN,Net investment in nonfinancial assets (current LCU)
GC.NFN.TOTL.GD.ZS,Net investment in nonfinancial assets (% of GDP)
GC.NLD.TOTL.CN,Net lending (+) / net borrowing (-) (current LCU)
GC.NLD.TOTL.GD.ZS,Net lending (+) / net borrowing (-) (% of GDP)
GC.REV.GOTR.CN,Grants and other revenue (current LCU)
GC.REV.GOTR.ZS,Grants and other revenue (% of revenue)
GC.REV.SOCL.CN,Social contributions (current LCU)
GC.REV.SOCL.ZS,Social contributions (% of revenue)
GC.REV.XGRT.CN,"Revenue, excluding grants (current LCU)"
GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)"
GC.TAX.EXPT.CN,Taxes on exports (current LCU)
GC.TAX.EXPT.ZS,Taxes on exports (% of tax revenue)
GC.TAX.GSRV.CN,Taxes on goods and services (current LCU)
GC.TAX.GSRV.RV.ZS,Taxes on goods and services (% of revenue)
GC.TAX.GSRV.VA.ZS,Taxes on goods and services (% value added of industry and services)
GC.TAX.IMPT.CN,Customs and other import duties (current LCU)
GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue)
GC.TAX.INTT.CN,Taxes on international trade (current LCU)
GC.TAX.INTT.RV.ZS,Taxes on international trade (% of revenue)
GC.TAX.OTHR.CN,Other taxes (current LCU)
GC.TAX.OTHR.RV.ZS,Other taxes (% of revenue)
GC.TAX.TOTL.CN,Tax revenue (current LCU)
GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP)
GC.TAX.YPKG.CN,"Taxes on income, profits and capital gains (current LCU)"
GC.TAX.YPKG.RV.ZS,"Taxes on income, profits and capital gains (% of revenue)"
GC.TAX.YPKG.ZS,"Taxes on income, profits and capital gains (% of total taxes)"
GC.XPN.COMP.CN,Compensation of employees (current LCU)
GC.XPN.COMP.ZS,Compensation of employees (% of expense)
GC.XPN.GSRV.CN,Goods and services expense (current LCU)
GC.XPN.GSRV.ZS,Goods and services expense (% of expense)
GC.XPN.INTP.CN,Interest payments (current LCU)
GC.XPN.INTP.RV.ZS,Interest payments (% of revenue)
GC.XPN.INTP.ZS,Interest payments (% of expense)
GC.XPN.OTHR.CN,Other expense (current LCU)
GC.XPN.OTHR.ZS,Other expense (% of expense)
GC.XPN.TOTL.CN,Expense (current LCU)
GC.XPN.TOTL.GD.ZS,Expense (% of GDP)
GC.XPN.TRFT.CN,Subsidies and other transfers (current LCU)
GC.XPN.TRFT.ZS,Subsidies and other transfers (% of expense)
IC.BUS.DFRN.XQ,Distance to frontier score (0=lowest performance to 100=frontier)
IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
IC.BUS.EASE.XQ,Ease of doing business index (1=most business-friendly regulations)
IC.BUS.NDNS.ZS,"New business density (new registrations per 1,000 people ages 15-64)"
IC.BUS.NREG,New businesses registered (number)
IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high)
IC.CRD.PRVT.ZS,Private credit bureau coverage (% of adults)
IC.CRD.PUBL.ZS,Public credit registry coverage (% of adults)
IC.CUS.DURS.EX,Average time to clear exports through customs (days)
IC.ELC.DURS,Delay in obtaining an electrical connection (days)
IC.ELC.OUTG,Power outages in firms in a typical month (number)
IC.ELC.TIME,Time required to get electricity (days)
IC.EXP.COST.CD,Cost to export (US$ per container)
IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)"
IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)"
IC.EXP.DOCS,Documents to export (number)
IC.EXP.DURS,Time to export (days)
IC.EXP.TMBC,"Time to export, border compliance (hours)"
IC.EXP.TMDC,"Time to export, documentary compliance (hours)"
IC.FRM.BKWC.ZS,Firms using banks to finance working capital (% of firms)
IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms)
IC.FRM.BRIB.ZS,Bribery incidence (% of firms experiencing at least one bribe payment request)
IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms)
IC.FRM.CORR.ZS,Informal payments to public officials (% of firms)
IC.FRM.CRIM.ZS,"Losses due to theft, robbery, vandalism, and arson (% sales)"
IC.FRM.DURS,Time required to obtain an operating license (days)
IC.FRM.FEMM.ZS,Firms with female top manager (% of firms)
IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms)
IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms)
IC.FRM.FREG.ZS,Firms that do not report all sales for tax purposes (% of firms)
IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales)
IC.FRM.TRNG.ZS,Firms offering formal training (% of firms)
IC.GOV.DURS.ZS,Time spent dealing with the requirements of government regulations (% of senior management time)
IC.IMP.COST.CD,Cost to import (US$ per container)
IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)"
IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)"
IC.IMP.DOCS,Documents to import (number)
IC.IMP.DURS,Time to import (days)
IC.IMP.TMBC,"Time to import, border compliance (hours)"
IC.IMP.TMDC,"Time to import, documentary compliance (hours)"
IC.ISV.DURS,Time to resolve insolvency (years)
IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong)
IC.LGL.DURS,Time required to enforce a contract (days)
IC.PRP.DURS,Time required to register property (days)
IC.PRP.PROC,Procedures to register property (number)
