Series Code,Series Name
SH.ALC.PCAP.LI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children under 5)
SH.ANM.NPRG.ZS,Prevalence of anemia among non-pregnant women (% of women ages 15-49)
SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)"
SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)"
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
SH.DTH.IMRT,Number of infant deaths
SH.DTH.INJR.ZS,"Cause of death, by injury (% of total)"
SH.DTH.MORT,Number of under-five deaths
SH.DTH.NCOM.ZS,"Cause of death, by non-communicable diseases (% of total)"
SH.DTH.NMRT,Number of neonatal deaths
SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%)
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)"
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)"
SH.DYN.MORT.FE,"Mortality rate, under-5, female (per 1,000 live births)"
SH.DYN.MORT.MA,"Mortality rate, under-5, male (per 1,000 live births)"
SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)"
SH.FPL.SATM.ZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
SH.HIV.0014,Children (0-14) living with HIV
SH.HIV.1524.FE.ZS,"Prevalence of HIV, female (% ages 15-24)"
SH.HIV.1524.MA.ZS,"Prevalence of HIV, male (% ages 15-24)"
SH.HIV.ARTC.ZS,Antiretroviral therapy coverage (% of people living with HIV)
SH.HIV.INCD,Adults (ages 15+) newly infected with HIV
SH.HIV.INCD.14,Children (ages 0-14) newly infected with HIV
SH.HIV.INCD.TL,Adults (ages 15+) and children (ages 0-14) newly infected with HIV
SH.HIV.INCD.ZS,Incidence of HIV (% of uninfected population ages 15-49)
SH.HIV.PMTC.ZS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
SH.IMM.HEPB,"Immunization, HepB3 (% of one-year-old children)"
SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)"
SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)"
SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)"
SH.MED.CMHW.P3,"Community health workers (per 1,000 people)"
SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)"
SH.MED.PHYS.ZS,"Physicians (per 1,000 people)"
SH.MED.SAOP.P5,"Specialist surgical workforce (per 100,000 population)"
SH.MLR.INCD.P3,"Incidence of malaria (per 1,000 population at risk)"
SH.MLR.NETS.ZS,Use of insecticide-treated bed nets (% of under-5 population)
SH.MLR.TRET.ZS,Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
SH.MMR.DTHS,Number of maternal deaths
SH.MMR.RISK,Lifetime risk of maternal death (1 in: rate varies by country)
SH.MMR.RISK.ZS,Lifetime risk of maternal death (%)
SH.PRG.ANEM,Prevalence of anemia among pregnant women (%)
SH.PRV.SMOK.FE,"Smoking prevalence, females (% of adults)"
SH.PRV.SMOK.MA,"Smoking prevalence, males (% of adults)"
SH.SGR.CRSK.ZS,Risk of catastrophic expenditure for surgical care (% of people at risk)
SH.SGR.IRSK.ZS,Risk of impoverishing expenditure for surgical care (% of people at risk)
SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)"
SH.STA.ANVC.ZS,Pregnant women receiving prenatal care (%)
SH.STA.ARIC.ZS,ARI treatment (% of children under 5 taken to a health provider)
SH.STA.BFED.ZS,Exclusive breastfeeding (% of children under 6 months)
SH.STA.BRTC.ZS,Births attended by skilled health staff (% of total)
SH.STA.BRTW.ZS,Low-birthweight babies (% of births)
SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79)
SH.STA.FGMS.ZS,Female genital mutilation prevalence (%)
SH.STA.MALN.FE.ZS,"Prevalence of underweight, weight for age, female (% of children under 5)"
SH.STA.MALN.MA.ZS,"Prevalence of underweight, weight for age, male (% of children under 5)"
SH.STA.MALN.ZS,"Prevalence of underweight, weight for age (% of children under 5)"
SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)"
SH.STA.ODFC.RU.ZS,"People practicing open defecation, rural (% of rural population)"
SH.STA.ODFC.UR.ZS,"People practicing open defecation, urban (% of urban population)"
SH.STA.ODFC.ZS,People practicing open defecation (% of population)
SH.STA.ORCF.ZS,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)
SH.STA.ORTH,Diarrhea treatment (% of children under 5 who received ORS packet)
SH.STA.OWGH.FE.ZS,"Prevalence of overweight, weight for height, female (% of children under 5)"
SH.STA.OWGH.MA.ZS,"Prevalence of overweight, weight for height, male (% of children under 5)"
SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)"
SH.STA.STNT.FE.ZS,"Prevalence of stunting, height for age, female (% of children under 5)"
SH.STA.STNT.MA.ZS,"Prevalence of stunting, height for age, male (% of children under 5)"
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)"
SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)"
SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 people)"
SH.STA.WAST.FE.ZS,"Prevalence of wasting, weight for height, female (% of children under 5)"
SH.STA.WAST.MA.ZS,"Prevalence of wasting, weight for height, male (% of children under 5)"
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)"
SH.SVR.WAST.FE.ZS,"Prevalence of severe wasting, weight for height, female (% of children under 5)"
SH.SVR.WAST.MA.ZS,"Prevalence of severe wasting, weight for height, male (% of children under 5)"
SH.SVR.WAST.ZS,"Prevalence of severe wasting, weight for height (% of children under 5)"
SH.TBS.CURE.ZS,Tuberculosis treatment success rate (% of new cases)
SH.TBS.DTEC.ZS,"Tuberculosis case detection rate (%, all forms)"
SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)"
SH.VAC.TTNS.ZS,Newborns protected against tetanus (%)
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population)
SN.ITK.DFCT,Depth of the food deficit (kilocalories per person per day)
SN.ITK.SALT.ZS,Consumption of iodized salt (% of households)
SN.ITK.VITA.ZS,Vitamin A supplementation coverage rate (% of children ages 6-59 months)
SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
SP.DTH.INFR.ZS,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)
SP.DTH.REPT.ZS,Completeness of total death reporting (% of reported total deaths to estimated total deaths)
SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)"
SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)"
SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
SP.DYN.CONM.ZS,"Contraceptive prevalence, modern methods (% of women ages 15-49)"
SP.DYN.CONU.ZS,"Contraceptive prevalence, any methods (% of women ages 15-49)"
SP.DYN.IMRT.FE.IN,"Mortality rate, infant, female (per 1,000 live births)"
SP.DYN.IMRT.IN,"Mortality rate, infant (per 1,000 live births)"
SP.DYN.IMRT.MA.IN,"Mortality rate, infant, male (per 1,000 live births)"
SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)"
SP.DYN.LE00.IN,"Life expectancy at birth, total (years)"
SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)"
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)"
SP.DYN.TO65.MA.ZS,"Survival to age 65, male (% of cohort)"
SP.DYN.WFRT,Wanted fertility rate (births per woman)
SP.HOU.FEMA.ZS,Female headed households (% of households with a female head)
SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24)
SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
SP.POP.0004.FE.5Y,"Population ages 0-4, female (% of female population)"
SP.POP.0004.MA.5Y,"Population ages 0-4, male (% of male population)"
SP.POP.0014.TO.ZS,Population ages 0-14 (% of total)
SP.POP.0509.FE.5Y,"Population ages 5-9, female (% of female population)"
SP.POP.0509.MA.5Y,"Population ages 5-9, male (% of male population)"
SP.POP.1014.FE.5Y,"Population ages 10-14, female (% of female population)"
SP.POP.1014.MA.5Y,"Population ages 10-14, male (% of male population)"
SP.POP.1519.FE.5Y,"Population ages 15-19, female (% of female population)"
SP.POP.1519.MA.5Y,"Population ages 15-19, male (% of male population)"
SP.POP.1564.TO.ZS,Population ages 15-64 (% of total)
SP.POP.2024.FE.5Y,"Population ages 20-24, female (% of female population)"
SP.POP.2024.MA.5Y,"Population ages 20-24, male (% of male population)"
SP.POP.2529.FE.5Y,"Population ages 25-29, female (% of female population)"
SP.POP.2529.MA.5Y,"Population ages 25-29, male (% of male population)"
SP.POP.3034.FE.5Y,"Population ages 30-34, female (% of female population)"
SP.POP.3034.MA.5Y,"Population ages 30-34, male (% of male population)"
SP.POP.3539.FE.5Y,"Population ages 35-39, female (% of female population)"
SP.POP.3539.MA.5Y,"Population ages 35-39, male (% of male population)"
SP.POP.4044.FE.5Y,"Population ages 40-44, female (% of female population)"
SP.POP.4044.MA.5Y,"Population ages 40-44, male (% of male population)"
SP.POP.4549.FE.5Y,"Population ages 45-49, female (% of female population)"
SP.POP.4549.MA.5Y,"Population ages 45-49, male (% of male population)"
SP.POP.5054.FE.5Y,"Population ages 50-54, female (% of female population)"
SP.POP.5054.MA.5Y,"Population ages 50-54, male (% of male population)"
SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)"
SP.POP.5559.MA.5Y,"Population ages 55-59, male (% of male population)"
SP.POP.6064.FE.5Y,"Population ages 50-64, female (% of female population)"
SP.POP.6064.MA.5Y,"Population ages 50-64, male (% of male population)"
SP.POP.6569.FE.5Y,"Population ages 65-69, female (% of female population)"
SP.POP.6569.MA.5Y,"Population ages 65-69, male (% of male population)"
SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total)
SP.POP.7074.FE.5Y,"Population ages 70-74, female (% of female population)"
SP.POP.7074.MA.5Y,"Population ages 70-74, male (% of male population)"
SP.POP.7579.FE.5Y,"Population ages 75-79, female (% of female population)"
SP.POP.7579.MA.5Y,"Population ages 75-79, male (% of male population)"
SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)"
SP.POP.80UP.MA.5Y,"Population ages 80 and above, male (% of male population)"
SP.POP.DPND,Age dependency ratio (% of working-age population)
SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
